case_label,direction,sign,offset,lower_angle,upper_angle,lower_flare,upper_flare,objective,status,algorithm,run_tag,slurm_job_id,job_name,timestamp_iso8601
nm05_pair2_pos,nm05_pair2,pos,-0.00235224,-3.28876,7.6525,0.00208729,0.00129884,0.012909779489000003,ok,extra_points_nelder_mead_sr_nm05_pairs,extra_points_nelder_mead_sr_nm05_pairs,16964,tcpc-extra-nm-sr-nm05-pairs,2026-01-08T17:40:08.507044
nm05_pair1_neg,nm05_pair1,neg,-0.00435224,-3.28876,7.6525,0.00208729,0.00154884,0.014805253905499999,ok,extra_points_nelder_mead_sr_nm05_pairs,extra_points_nelder_mead_sr_nm05_pairs,16963,tcpc-extra-nm-sr-nm05-pairs,2026-01-08T17:40:15.196806
nm05_pair3_pos,nm05_pair3,pos,-0.00235224,-3.28876,4.6525,0.00183729,0.00154884,0.014770662148000007,ok,extra_points_nelder_mead_sr_nm05_pairs,extra_points_nelder_mead_sr_nm05_pairs,16966,tcpc-extra-nm-sr-nm05-pairs,2026-01-08T18:39:16.115540
nm05_pair4_pos,nm05_pair4,pos,-0.00235224,-3.28876,7.6525,0.00183729,0.00129884,0.013050345253,ok,extra_points_nelder_mead_sr_nm05_pairs,extra_points_nelder_mead_sr_nm05_pairs,16968,tcpc-extra-nm-sr-nm05-pairs,2026-01-08T18:40:15.633310
nm05_pair1_pos,nm05_pair1,pos,-0.00235224,-0.28876,4.6525,0.00183729,0.00129884,0.014251727008500007,ok,extra_points_nelder_mead_sr_nm05_pairs,extra_points_nelder_mead_sr_nm05_pairs,16962,tcpc-extra-nm-sr-nm05-pairs,2026-01-08T18:42:07.694296
nm05_pair4_neg,nm05_pair4,neg,-0.00435224,-0.28876,4.6525,0.00208729,0.00154884,0.013145855250500004,ok,extra_points_nelder_mead_sr_nm05_pairs,extra_points_nelder_mead_sr_nm05_pairs,16969,tcpc-extra-nm-sr-nm05-pairs,2026-01-08T18:42:09.208139
nm05_pair3_neg,nm05_pair3,neg,-0.00435224,-0.28876,7.6525,0.00208729,0.00129884,0.01415026934399999,ok,extra_points_nelder_mead_sr_nm05_pairs,extra_points_nelder_mead_sr_nm05_pairs,16967,tcpc-extra-nm-sr-nm05-pairs,2026-01-08T19:02:16.620665
nm05_pair2_neg,nm05_pair2,neg,-0.00435224,-0.28876,4.6525,0.00183729,0.00154884,0.014793330899999999,ok,extra_points_nelder_mead_sr_nm05_pairs,extra_points_nelder_mead_sr_nm05_pairs,16965,tcpc-extra-nm-sr-nm05-pairs,2026-01-08T19:04:16.552946
nm05_pair5_pos,nm05_pair5,pos,-0.00235224,-0.28876,7.6525,0.00208729,0.00154884,0.013081920406000001,ok,extra_points_nelder_mead_sr_nm05_pairs,extra_points_nelder_mead_sr_nm05_pairs,16970,tcpc-extra-nm-sr-nm05-pairs,2026-01-08T21:11:17.369630
nm05_pair5_neg,nm05_pair5,neg,-0.00435224,-3.28876,4.6525,0.00183729,0.00129884,0.014425587011999995,ok,extra_points_nelder_mead_sr_nm05_pairs,extra_points_nelder_mead_sr_nm05_pairs,16971,tcpc-extra-nm-sr-nm05-pairs,2026-01-08T21:13:17.646362
