eval_id,objective,offset,lower_angle,upper_angle,lower_flare,upper_flare,timestamp_iso8601
1,442.9550316049998,-0.0008200056,4.0741258864,-0.8672445272,0.0022396408,0.0006426584,2025-12-16T05:37:03.479315
2,430.3506777149997,-0.0006200056,3.7741258864,-0.8672445272,0.0022396408,0.0006426584,2025-12-16T11:10:20.363268
3,159.64185356999994,-0.0004200056,4.0741258864,-0.8672445272,0.0022396408,0.0006426584,2025-12-16T15:55:10.026769
4,1025.8953875449995,-0.0006200056,4.3741258864,-0.8672445272,0.0022396408,0.0006426584,2025-12-16T16:45:23.726975
5,170.07571869999992,-0.0006200056,4.0741258864,-0.8672445272,0.0022646408,0.0006426584,2025-12-18T07:31:54.819066
6,406.8730154499997,-0.0006200056,4.0741258864,-0.5672445272,0.0022396408,0.0006426584,2025-12-18T11:31:54.306939
7,431.25714782999967,-0.0006200056,4.0741258864,-1.1672445272,0.0022396408,0.0006426584,2025-12-18T13:00:55.244249
8,420.869325435,-0.0006200056,4.0741258864,-0.8672445272,0.0022146408,0.0006426584,2025-12-18T13:02:56.104289
9,348.6895799449997,-0.0006200056,4.0741258864,-0.8672445272,0.0022396408,0.0006176584,2025-12-18T18:30:12.546693
10,167.19772507999988,-0.0006200056,4.0741258864,-0.8672445272,0.0022396408,0.0006676584,2025-12-18T18:59:10.801988
